,Date,cf_200,cf_2000
0,2018-01-09,0.6401636954197035,0.3594515561042475
1,2018-01-14,0.443829066006078,0.2280899763807384
2,2018-01-19,0.5381478094213762,0.3449674893396047
3,2018-01-29,0.2886653567247035,0.096324484163563
4,2018-02-08,0.1232618296041749,0.0129380201166364
5,2018-02-13,0.2353117597744876,0.0856041067213546
6,2018-02-18,0.4902966706682559,0.2509579058186134
7,2018-02-23,0.5767399056717453,0.3268125991710417
8,2018-02-28,0.5819616203078698,0.4062655386421071
9,2018-03-05,0.0771464062375019,0.0237004772998232
10,2018-03-10,0.2047890639569778,0.0881494456586864
11,2018-03-15,0.4320603500401572,0.1670860006199761
12,2018-03-20,0.5864851562453545,0.3720968569224492
13,2018-03-25,0.3085065990470995,0.1523073909769965
14,2018-03-30,0.0312717891358416,0.0065887715401158
15,2018-04-04,0.5261266818443104,0.2808865282913405
16,2018-04-09,0.5679825444123989,0.323587356538817
17,2018-04-14,0.1454096059068903,0.0762173523914235
18,2018-04-19,0.4471320919380359,0.2371004818195684
19,2018-04-24,0.4856534468045098,0.2219191361981292
20,2018-04-29,0.6137171972791209,0.355814917500081
21,2018-05-04,0.0663750133634448,0.0169868708127775
22,2018-05-09,0.0498069095289396,0.0111126382908262
23,2018-05-14,0.4399927094141763,0.2827177139103518
24,2018-05-19,0.00021993702843305175,0.0
25,2018-05-24,0.5602615388451133,0.3740261226887497
26,2018-05-29,0.3682141278585836,0.1520381833137828
27,2018-06-03,0.5105490623036585,0.2964938108756661
28,2018-06-08,0.5510064168151242,0.2789156300913347
29,2018-06-13,0.0504856516437604,0.0086591560303073
30,2018-06-18,0.3135486167605978,0.1364722729184467
31,2018-06-23,0.33827235910724,0.1056734219866105
32,2018-06-28,0.1307724032358947,0.0582811473136588
33,2018-07-03,0.1226469706595645,0.0288102456365675
34,2018-07-08,0.6667615753381801,0.3808537477250642
35,2018-07-13,0.0003125792933118219,0.0
36,2018-07-18,0.1859634190193258,0.0485372312121699
37,2018-07-23,0.5329654740200156,0.2821020470528666
38,2018-07-28,0.0054792423282228,0.0001091125965827382
39,2018-08-02,0.1400484447297635,0.0762350686114955
40,2018-08-07,0.3661677829407597,0.1525298219796434
41,2018-08-12,0.6624252313456742,0.404744685242597
42,2018-08-17,0.2621337477310381,0.0971479589314049
43,2018-08-22,0.6744678567299073,0.3846781741316621
44,2018-08-27,0.5951396868645594,0.2583238001904174
45,2018-09-01,0.5725934225089668,0.2778280801191921
46,2018-09-06,0.3590940119753826,0.1672902557573612
47,2018-09-11,0.6724151083930913,0.3810237767618586
48,2018-09-16,0.1517651037169938,0.0605724108658814
49,2018-09-21,0.1725932052027623,0.0781934625799322
50,2018-09-26,0.0912138809528096,0.0172664669820537
51,2018-10-01,0.5518376462780894,0.3142173004358248
52,2018-10-06,0.255825731700001,0.1322029527563337
53,2018-10-11,0.3140558366985692,0.1131862530638845
54,2018-10-16,0.2604043009938483,0.0906817189671268
55,2018-10-21,0.2084197458269765,0.0845800000797162
56,2018-10-26,0.3479194828612661,0.1566755440171688
57,2018-10-31,0.043690454891241,0.0220480585179472
58,2018-11-05,0.3460302712583505,0.1831394001473181
59,2018-11-10,0.6537697801502488,0.3343656509384487
60,2018-11-15,0.0,0.0
61,2018-11-20,0.6054625612259997,0.3383540330094657
62,2018-11-25,0.4348609513323991,0.1484127817605269
63,2018-11-30,0.5208452453397784,0.3007249101621331
64,2018-12-05,0.6020065562066003,0.3227782172596632
65,2018-12-10,0.4361044248537176,0.2109440587088183
66,2018-12-15,0.6141158443881098,0.3379252344748418
67,2018-12-20,0.2566405956161443,0.0996117494216392
68,2018-12-25,0.515434839096377,0.2597327221428308
69,2018-12-30,0.4836758699858092,0.2505167518207352
70,2019-01-04,0.6430768475108875,0.3379575115404017
71,2019-01-09,0.6518626045677598,0.4260142133752962
72,2019-01-14,0.7090524453496132,0.4732628408061137
73,2019-01-19,0.5664284283113133,0.3010834332890537
74,2019-01-24,0.552171012291364,0.3031280703544146
75,2019-01-29,0.6024124845700227,0.4349430908374382
76,2019-02-03,0.8236132034689799,0.5535228644818488
77,2019-02-08,0.645561399331356,0.3975603327387375
78,2019-02-13,0.5647960177555225,0.3245926833691686
79,2019-02-18,0.6067743573862084,0.364720718915386
80,2019-02-23,0.0603738542290004,0.0195077023148067
81,2019-02-28,0.3631434470086547,0.2069905557771401
82,2019-03-05,0.4693329014092485,0.2208032408345391
83,2019-03-10,0.5508285053878079,0.3244199798231935
84,2019-03-15,0.0532627080701074,0.016685610484397
85,2019-03-20,0.550114753824601,0.353148536622401
86,2019-03-25,0.5244188208567694,0.3142291003120817
87,2019-03-30,0.0691473652224774,0.009618651787315
88,2019-04-04,0.674751623908824,0.3403036766464259
89,2019-04-09,0.6437960265019105,0.416873355577536
90,2019-04-14,0.5714298668914557,0.3228155715241391
91,2019-04-19,0.3005268669204948,0.1516400238338605
92,2019-04-24,0.6169006476686346,0.3361936355847947
93,2019-04-29,0.3952619686502758,0.2129485609610692
94,2019-05-04,0.3355255104835914,0.206100777227191
95,2019-05-09,0.6870542656997922,0.3406559173090897
96,2019-05-14,0.1195626160034053,0.0259905172911657
97,2019-05-19,0.2924084030778437,0.0554002345768205
98,2019-05-24,0.2252974516357644,0.1003622765128667
99,2019-05-29,0.5563494025017489,0.2753690684985652
100,2019-06-03,0.2472009421605466,0.0805364061774814
101,2019-06-08,0.0,0.0
102,2019-06-13,0.5527721708638733,0.3226826436012932
103,2019-06-18,0.0013111573098376,4.570151105381496e-06
