Date,cf_200,cf_2000
2018-01-04,0.000000,0.000000
2018-01-09,0.000000,0.000000
2018-01-14,0.957457,0.908955
2018-01-19,0.877618,0.805095
2018-01-24,0.443743,0.282456
2018-01-29,0.852797,0.835610
2018-02-03,0.979077,0.957882
2018-02-08,0.956141,0.904599
2018-02-13,0.079188,0.017885
2018-02-18,0.830655,0.663948
2018-02-23,0.780749,0.573054
2018-02-28,0.053450,0.021796
2018-03-05,0.000145,0.000000
2018-03-10,0.987822,0.974729
2018-03-15,0.634642,0.525759
2018-03-20,0.754875,0.640989
2018-03-25,0.508398,0.327562
2018-03-30,0.894818,0.810079
2018-04-04,0.579078,0.240861
2018-04-09,0.000000,0.000000
2018-04-14,0.870320,0.725165
2018-04-19,0.908675,0.816573
2018-04-24,0.365205,0.224875
2018-04-29,0.000000,0.000000
2018-05-04,0.319818,0.217595
2018-05-09,0.076181,0.031098
2018-05-14,0.000888,0.000000
2018-05-19,0.277670,0.209885
2018-05-24,0.572792,0.356085
2018-05-29,0.746809,0.669016
2018-06-03,0.001049,0.000241
2018-06-08,0.000000,0.000000
2018-06-13,0.400353,0.265651
2018-06-18,0.092545,0.015235
2018-06-23,0.753967,0.622541
2018-06-28,0.853872,0.807351
2018-07-03,0.699913,0.510956
2018-07-08,0.652111,0.549909
2018-07-13,0.999838,1.000005
2018-07-18,0.971251,0.942425
2018-07-23,0.104236,0.031429
2018-07-28,0.625287,0.441372
2018-08-02,0.645577,0.497676
2018-08-07,0.017730,0.006394
2018-08-12,0.629615,0.447869
2018-08-17,0.639734,0.428278
2018-08-22,0.081950,0.026019
2018-08-27,0.304700,0.158632
2018-09-01,0.006956,0.001967
2018-09-06,0.633646,0.450963
2018-09-11,0.976284,0.956665
2018-09-16,0.005555,0.000000
2018-09-21,0.998876,0.989208
2018-09-26,0.623339,0.310252
2018-10-01,0.719410,0.543195
2018-10-06,0.349798,0.125783
2018-10-11,0.000000,0.000000
2018-10-16,0.000041,0.000000
2018-10-21,0.888575,0.866024
2018-10-26,0.923696,0.754474
2018-10-31,0.317136,0.044330
2018-11-05,0.954432,0.844684
2018-11-10,0.781728,0.421949
2018-11-15,0.821378,0.748896
2018-11-20,0.200137,0.038026
2018-11-25,0.002012,0.000000
2018-11-30,0.060568,0.014752
2018-12-05,0.235417,0.127948
2018-12-10,0.000000,0.000000
2018-12-15,0.021268,0.012261
2018-12-20,0.145532,0.058310
2018-12-25,0.000035,0.000000
2018-12-30,0.288544,0.145917
2019-01-04,0.999955,0.999329
2019-01-09,0.822374,0.618792
2019-01-14,0.006546,0.000703
2019-01-19,0.999479,0.995966
2019-01-24,0.017684,0.002008
2019-01-29,0.768684,0.625204
2019-02-03,0.999972,0.999552
2019-02-08,0.992374,0.976680
2019-02-13,0.924747,0.871113
2019-02-18,0.455209,0.282198
2019-02-23,0.038629,0.000581
2019-02-28,0.999544,0.995695
2019-03-05,0.999970,0.999558
2019-03-10,0.076993,0.012079
2019-03-15,0.233832,0.127992
2019-03-20,0.523498,0.272057
2019-03-25,0.000000,0.000000
2019-03-30,0.866611,0.753689
2019-04-04,0.000000,0.000000
2019-04-09,0.466060,0.324777
2019-04-14,0.124406,0.025463
2019-04-19,0.003393,0.000058
2019-04-24,0.487890,0.316269
2019-04-29,0.824875,0.760704
2019-05-04,0.015722,0.001928
2019-05-09,0.998994,0.992911
2019-05-14,0.088661,0.034183
2019-05-19,0.999870,0.999864
2019-05-24,0.842849,0.819294
2019-05-29,0.084220,0.049900
2019-06-03,0.001493,0.000000
2019-06-08,0.775939,0.653511
2019-06-13,0.509194,0.231986
2019-06-18,0.999882,0.999067
2019-06-23,0.799464,0.731265
2019-06-28,0.970000,0.901236
2019-07-03,0.642752,0.550120
2019-07-08,0.665646,0.480196
2019-07-13,0.000000,0.000000
2019-07-18,0.000000,0.000000
2019-07-23,0.111619,0.043862
2019-07-28,0.337391,0.238125
2019-08-02,0.995714,0.979207
2019-08-07,0.909026,0.796188
2019-08-12,0.236990,0.163860
2019-08-17,0.625963,0.414979
2019-08-22,0.320135,0.174459
2019-08-27,0.994119,0.988030
2019-09-01,0.999998,1.000005
2019-09-06,0.444040,0.143828
2019-09-11,0.110676,0.027951
2019-09-16,0.874178,0.827689
2019-09-21,0.169155,0.150179
2019-09-26,0.314505,0.130463
2019-10-01,0.000000,0.000000
2019-10-06,0.951584,0.893278
2019-10-11,0.064881,0.005084
2019-10-16,0.125484,0.048064
2019-10-21,0.522748,0.385577
2019-10-26,0.006188,0.004117
2019-10-31,0.218419,0.094875
2019-11-05,0.000253,0.000000
2019-11-10,0.000000,0.000000
2019-11-15,0.833746,0.722989
2019-11-20,0.439343,0.313967
2019-11-30,0.000000,0.000000
2019-12-05,0.205882,0.100305
2019-12-10,0.411301,0.315497
2019-12-15,0.022263,0.001779
2019-12-20,0.299499,0.061214
2019-12-25,0.199240,0.072907
2019-12-30,0.426230,0.241282
2020-01-04,0.092081,0.018636
2020-01-09,0.360641,0.223756
2020-01-14,0.343868,0.110393
2020-01-19,0.408820,0.315758
2020-01-24,0.000001,0.000000
2020-01-29,0.335095,0.178685
2020-02-03,0.162661,0.044226
2020-02-08,0.795522,0.673341
2020-02-13,0.000000,0.000000
2020-02-18,0.807583,0.691063
2020-02-23,0.999997,1.000005
2020-02-28,0.156803,0.031743
2020-03-04,0.988467,0.939117
2020-03-09,0.001706,0.000000
