Date,cf_200,cf_2000
2018-01-05,0.102555,0.036260
2018-01-15,0.116508,0.033818
2018-01-20,0.042709,0.006332
2018-01-25,0.045825,0.004040
2018-02-04,0.752409,0.227491
2018-02-09,0.441586,0.267133
2018-02-14,0.074191,0.014722
2018-02-19,0.656499,0.313407
2018-02-24,0.158018,0.059822
2018-03-01,0.658197,0.214667
2018-03-06,0.109972,0.018039
2018-03-11,0.628513,0.210681
2018-03-16,0.153742,0.075170
2018-03-21,0.000000,0.000000
2018-03-26,0.903707,0.573538
2018-03-31,0.437661,0.169631
2018-04-05,0.129421,0.058397
2018-04-10,0.855484,0.583251
2018-04-15,0.186965,0.053440
2018-04-20,0.279362,0.109189
2018-04-25,0.506067,0.237448
2018-05-05,0.394244,0.123846
2018-05-10,0.000000,0.000000
2018-05-15,0.000000,0.000000
2018-05-20,0.546636,0.090401
2018-05-25,0.100787,0.002885
2018-05-30,0.032918,0.002965
2018-06-04,0.295292,0.072145
2018-06-09,0.806135,0.412626
2018-06-14,0.782836,0.181730
2018-06-19,0.242838,0.037608
2018-06-24,0.041019,0.000243
2018-06-29,0.748711,0.266813
2018-07-04,0.289973,0.058536
2018-07-09,0.346812,0.043754
2018-07-14,0.009195,0.000002
2018-07-19,0.199615,0.045383
2018-07-24,0.412533,0.047234
2018-07-29,0.590732,0.028578
2018-08-03,0.440136,0.122035
2018-08-08,0.178861,0.012648
2018-08-13,0.597566,0.088812
2018-08-18,0.975600,0.846051
2018-08-23,0.704775,0.362759
2018-08-28,0.305346,0.151460
2018-09-02,0.078762,0.002734
2018-09-07,0.402614,0.116249
2018-09-12,0.649960,0.130970
2018-09-17,0.557750,0.073591
2018-09-22,0.060849,0.031036
2018-09-27,0.115962,0.018764
2018-10-02,0.706207,0.552986
2018-10-07,0.922351,0.587275
2018-10-12,0.836749,0.581444
2018-10-17,0.866207,0.588124
2018-10-22,0.438810,0.150666
2018-10-27,0.793023,0.261609
2018-11-01,0.650608,0.142178
2018-11-06,0.757443,0.259338
2018-11-11,0.733319,0.291564
2018-11-16,0.632083,0.181368
2018-11-21,0.161710,0.043967
2018-11-26,0.351620,0.197750
2018-12-01,0.876540,0.498485
2018-12-06,0.081282,0.022937
2018-12-11,0.095514,0.023326
2018-12-16,0.000000,0.000000
2018-12-21,0.274479,0.065835
2018-12-26,0.006886,0.001673
2018-12-31,0.000000,0.000000
2019-01-05,0.508124,0.173195
2019-01-10,0.705391,0.144359
2019-01-15,0.359401,0.141048
2019-01-20,0.000000,0.000000
2019-01-25,0.257112,0.103501
2019-01-30,0.000155,0.000000
2019-02-04,0.312746,0.070987
2019-02-09,0.777293,0.214713
