Date,cf_200,cf_2000
2018-01-02,0.205781,0.107834
2018-01-04,0,0
2018-01-07,0.322193,0.0875559
2018-01-09,1.28103e-06,0
2018-01-12,0.882252,0.836389
2018-01-14,0,0
2018-01-17,0,0
2018-01-19,0,0
2018-01-22,0.401108,0.275969
2018-01-24,0.0868018,0.0654177
2018-01-27,0,0
2018-01-29,0.002906,1.65749e-05
2018-02-01,0,0
2018-02-06,0.472417,0.149475
2018-02-08,0,0
2018-02-11,0.0253868,0.00222835
2018-02-13,0,0
2018-02-16,0,0
2018-02-18,0.00157851,0
2018-02-21,0.75723,0.428651
2018-02-23,0.985432,0.923016
2018-02-26,0.69368,0.378049
2018-02-28,0.709637,0.535745
2018-03-03,0.687527,0.636632
2018-03-05,1.00006,1.00006
2018-03-08,0,0
2018-03-10,0,0
2018-03-13,0,0
2018-03-15,0.157217,0.0419838
2018-03-18,0.997998,0.997447
2018-03-20,0.985301,0.944532
2018-03-23,0.23044,0.0168455
2018-03-25,0.00938533,0.00016711
2018-03-28,0.422433,0.1196
2018-03-30,0,0
2018-04-02,0,0
2018-04-04,0.272379,0.0962621
2018-04-07,0.700406,0.0783988
2018-04-09,0.999479,0.99556
2018-04-12,0.998358,0.99986
2018-04-14,1.00006,1.00006
2018-04-17,0,0
2018-04-19,1.92664e-05,0
2018-04-22,0.143596,0.0179498
2018-04-24,0.00280492,0
2018-04-27,0.0227622,0
2018-04-29,7.07685e-05,0
2018-05-02,0.977326,0.889624
2018-05-04,0.969319,0.896256
2018-05-07,0.997961,0.999448
2018-05-09,0.974941,0.942434
2018-05-12,0.997146,0.987728
2018-05-14,0.0649667,0.0230656
2018-05-17,0.494924,0.129003
2018-05-19,0.479444,0.248444
2018-05-22,0.000255173,0
2018-05-24,0.180469,0.0196595
2018-05-27,0.997262,0.988834
2018-05-29,0.964364,0.83013
2018-06-01,0.998116,0.999733
2018-06-03,0.774496,0.545158
2018-06-06,0.00944893,2.59103e-05
2018-06-08,0.213107,0.0825477
2018-06-11,0.836426,0.584
2018-06-13,0.52821,0.0676839
2018-06-16,0,0
2018-06-18,0.48218,0.109267
2018-06-21,0.381535,0.0502213
2018-06-23,0,0
2018-06-26,0.286811,0.000368677
2018-06-28,0.394159,0.0256536
2018-07-01,0,0
2018-07-03,0.00157437,0
2018-07-06,0.378851,0.100532
2018-07-08,0.10007,0.00061603
2018-07-11,0.292709,0.00698686
2018-07-13,0,0
2018-07-16,0.0281795,6.88686e-05
2018-07-18,0.391969,0.0358385
2018-07-21,0.227105,0.00363785
2018-07-23,0.0494199,5.95596e-05
2018-07-26,8.50135e-05,0
2018-07-28,0.002161,4.73444e-05
2018-07-31,0.0592847,0.000194709
2018-08-02,0.627418,0.0974421
2018-08-05,0.370353,0.0891822
2018-08-07,0.416332,0.0653128
2018-08-10,0.98765,0.937939
2018-08-12,0.270566,0.0246273
2018-08-15,0.0524119,4.05544e-05
2018-08-17,0.367219,0.0215761
2018-08-20,0.0569105,0.00724683
2018-08-22,0.695473,0.156751
2018-08-25,0.0108548,0.000379419
2018-08-27,3.89032e-06,0
2018-08-30,0.206346,0.054709
2018-09-01,0.550445,0.477753
2018-09-04,0,0
2018-09-06,0.92054,0.814101
2018-09-09,0.456106,0.25912
2018-09-11,0.729813,0.531124
2018-09-14,0.144106,0.0103827
2018-09-16,0.237054,0.00125239
2018-09-19,0.996235,0.977344
2018-09-21,0.820786,0.769752
2018-09-24,0,0
2018-09-26,0.653012,0.335311
2018-09-29,0.200535,0.023913
2018-10-01,0.997699,0.964165
2018-10-04,0.000408601,0
2018-10-06,0.583354,0.483155
2018-10-09,0.25249,0.152503
2018-10-11,0.168238,0.000603283
2018-10-14,0.998156,0.999902
2018-10-16,0.930095,0.82587
2018-10-19,0.036132,0.00607004
2018-10-21,0.463252,0.397761
2018-10-24,0.000260079,0
2018-10-26,0.00913612,6.85551e-05
2018-10-29,0,0
2018-10-31,0,0
2018-11-03,0,0
2018-11-05,0.00348553,0
2018-11-08,0,0
2018-11-10,0,0
2018-11-13,0,0
2018-11-15,0.0509652,0.00218813
2018-11-18,0.0278487,0.000142731
2018-11-20,4.20843e-07,0
2018-11-23,0,0
2018-11-25,0,0
2018-11-28,0.414218,0.1813
2018-11-30,1.00006,1.00006
2018-12-03,0,0
2018-12-05,0.000365463,0
2018-12-08,0,0
2018-12-10,0,0
2018-12-13,0,0
2018-12-15,1.93648e-05,0
2018-12-18,3.65158e-05,0
2018-12-20,0.0257928,0.00617105
2018-12-25,2.47803e-05,0
2018-12-28,0.000485109,0
2018-12-30,0,0
2019-01-02,0.00180052,0
2019-01-04,0,0
2019-01-07,0.460709,0.363494
2019-01-09,0.000857547,0
2019-01-12,0,0
2019-01-14,0,0
2019-01-17,0,0
2019-01-19,0.0316373,0.000267517
2019-01-22,0.0692201,0.029966
2019-01-24,0.862953,0.835616
2019-01-27,0.750783,0.536615
2019-01-29,0,0
2019-02-01,0,0
2019-02-03,0,0
2019-02-06,0,0
2019-02-08,0.0140782,0.00212785
2019-02-11,0,0
2019-02-13,0.0894847,0.00806972
2019-02-16,0.657278,0.369905
2019-02-18,1.00006,1.00006
2019-02-21,0.0854678,0.000181855
2019-02-23,0,0
2019-02-26,0.00366564,0
2019-02-28,0,0
2019-03-03,0,0
2019-03-05,0.0485728,0.009382
2019-03-08,0.102381,0.0333445
2019-03-10,0.0211064,0.00477452
2019-03-13,0.930125,0.842786
2019-03-15,0.0160222,4.63134e-07
2019-03-18,0,0
2019-03-20,6.13764e-05,0
2019-03-23,0.99971,0.998747
2019-03-25,0.624224,0.217587
2019-03-28,0.254126,0.0158794
