index,Date,cf_200,cf_2000
0,2018-01-02,0.11687967869414626,0.0037900685650755503
1,2018-01-07,9.297045087426735e-05,0.0
2,2018-01-10,0.0021529667104326,0.0
3,2018-01-15,0.0176236210557151,2.7431626682118395e-06
4,2018-01-17,0.22145361212561143,0.00459439096805075
5,2018-01-20,0.0991272622208256,0.0003787169218921453
6,2018-01-22,0.07245497551289505,0.001460461402283026
7,2018-01-27,3.673369903999382e-05,0.0
8,2018-01-30,0.005619846799443,0.0
9,2018-02-04,0.0224530338706722,0.0003768216479021983
10,2018-02-06,0.09521987351091715,0.0004925837335512345
11,2018-02-09,0.003012391826234,0.0
12,2018-02-11,0.0055301795559562,0.0
13,2018-02-14,0.00013059038563233347,0.0
14,2018-02-16,0.0607391361984526,0.0003661505446716088
15,2018-02-19,0.0,0.0
16,2018-02-21,0.0,0.0
17,2018-02-24,0.0,0.0
18,2018-02-26,0.0337785331583049,0.0
19,2018-03-01,0.0062439950826374,0.0007734877807195909
20,2018-03-03,0.08041341890721809,0.0012321678037972821
21,2018-03-06,0.0555623418096455,0.0004887030728549938
22,2018-03-08,0.0474647556866845,0.0009916492450563934
23,2018-03-11,0.0036520385911646,4.117557925804901e-06
24,2018-03-13,0.00975634985504175,7.180936865876946e-05
25,2018-03-16,0.0208734356398602,2.144182141837592e-06
26,2018-03-18,0.00202881972860985,0.0
27,2018-03-21,0.0285688757622195,0.00030312379734904674
28,2018-03-23,0.12746286808152024,0.00616010325859775
29,2018-03-26,0.000761076587884696,0.0
30,2018-03-28,0.0047979314135007,0.0
31,2018-03-31,0.0387303663118598,0.0
32,2018-04-02,8.081700930264088e-06,0.0
33,2018-04-05,0.003966423845642,0.0
34,2018-04-07,0.004352429131826518,0.0
35,2018-04-10,0.0,0.0
36,2018-04-12,0.009698837707591449,6.452023791733666e-06
37,2018-04-15,0.0308177590351621,3.606125942506092e-06
38,2018-04-17,0.0015451197134245238,0.0
39,2018-04-20,0.1366763842119499,0.0038245714241914
40,2018-04-22,0.06393841451641169,0.00636161552466835
41,2018-04-25,0.1655585342178277,0.00018496268957624075
42,2018-04-27,0.02189031390703445,0.0006640688904067794
43,2018-04-30,0.0006976100534507929,0.0
44,2018-05-02,0.0028393880597589,0.0
45,2018-05-05,0.0299656158935425,0.0
46,2018-05-07,0.1118767116989543,0.021019515802735353
47,2018-05-10,0.0,0.0
48,2018-05-12,0.00019027806709552255,0.0
49,2018-05-15,0.0018954797150731,0.0
50,2018-05-17,0.0501614939773395,0.00019393937960224128
51,2018-05-20,0.0642181660648235,3.1727491401262283e-06
52,2018-05-22,0.0,0.0
53,2018-05-25,0.1353819446403864,0.0002082917245816848
54,2018-05-30,0.1036180026551849,0.0006807900581192046
55,2018-06-01,0.0759426970407952,0.00017210175120409738
56,2018-06-04,0.1285397547902071,0.0004316048357184942
57,2018-06-06,0.0627014863940471,4.4745654621324696e-05
58,2018-06-09,0.0775271075153711,0.0008299965321982344
59,2018-06-11,0.12999330168993867,0.00758414577564645
60,2018-06-14,0.0919136604296018,0.0196324643749838
61,2018-06-16,0.0746399331362824,0.0025983581011346
62,2018-06-19,0.0930483960132197,0.0008933371349844816
63,2018-06-21,0.10010217347635081,7.614204756897177e-05
64,2018-06-24,0.0009146648800314256,0.0
65,2018-06-26,0.1435143471932533,0.0021045562355285503
66,2018-06-29,0.071452358280539,0.0010606390803746
67,2018-07-01,0.0936807169346785,0.00014118027070659096
68,2018-07-04,0.0003161026205594424,0.0
69,2018-07-06,0.13547718670900374,0.0011100869725369819
70,2018-07-09,0.0570794156137327,4.028861818097363e-06
71,2018-07-11,0.0,0.0
72,2018-07-14,0.4706668929164634,0.1897334486184995
73,2018-07-16,0.11056630796214134,0.0015433123431132499
74,2018-07-19,0.1309018787078857,0.0021638562731446
75,2018-07-21,0.1476482977233709,0.002064197257666131
76,2018-07-24,0.0,0.0
77,2018-07-26,0.029956811612305848,0.0
78,2018-07-29,0.1443236156248663,0.0002588645978161055
79,2018-07-31,0.06445930175465855,0.00185752825258335
80,2018-08-03,0.0875515437857507,0.0004354080756464053
81,2018-08-05,0.2077175418642421,0.002185604610847787
82,2018-08-08,0.1495111825971049,0.0011570999554803
83,2018-08-10,0.5083402792325645,0.0815900727614586
84,2018-08-13,0.2671331650389046,0.0050959713634769
85,2018-08-15,0.5575530635974827,0.07495267709478044
86,2018-08-18,0.1914208983647363,0.0030955342676336
87,2018-08-20,0.21701171272828784,0.0020597267079170544
88,2018-08-23,0.5912255717472857,0.1123136620556128
89,2018-08-25,0.1085807133590382,0.0001284828699624764
90,2018-08-28,0.0348565042063438,3.348895303370652e-06
91,2018-08-30,0.0220232580696143,0.0
92,2018-09-02,0.15540766057040165,0.0002453158209705448
93,2018-09-04,0.3354993473582266,0.005783654176326948
94,2018-09-07,0.090910779049086,1.83513498002216e-05
95,2018-09-09,0.00858877037100495,4.326170816774811e-05
96,2018-09-12,0.0154368542494038,0.0
97,2018-09-14,0.185570589200859,0.00181387743946285
98,2018-09-17,0.225388403331776,0.0005847883541359586
99,2018-09-19,0.4289619438802131,0.024974091356903753
100,2018-09-22,0.1652276784673188,0.0005323507550978097
101,2018-09-24,0.3260254306330693,0.0010040802540232019
102,2018-09-27,0.2599519784356323,0.0013157467129617
103,2018-09-29,0.12487106957162475,5.371571350385218e-05
104,2018-10-02,0.4913682861829819,0.0463458883996802
105,2018-10-04,0.1675854266488209,0.00011930361555412397
106,2018-10-07,0.2625676412026206,0.00012516042454148283
107,2018-10-09,0.310223003145306,0.00158462211872205
108,2018-10-12,0.2906903103747003,0.0041468667277586
109,2018-10-14,0.8774830515732065,0.5317633852024757
